x,y,state
-2,-8,Red
-11,-10,blue
-6,12,blue
-3,-7,green
-11,-7,blue
-2,7,Red
1,2,green
-4,3,Red
1,6,blue
-1,-12,green
1,-3,green
2,3,Red
-6,3,Red
-2,19,blue
-2,-6,Red
-2,5,Red
-3,6,green
1,-5,green
2,-4,Red
-6,-4,Red
1,4,green
-4,-4,Red
0,-4,Red
0,3,Red
1,13,blue
4,-10,blue
-6,6,blue
-3,11,green
7,5,blue
7,9,blue
-5,4,green
-2,20,blue
2,-18,green
-5,9,blue
4,-11,green
3,8,blue
-5,-9,blue
-5,10,blue
-5,2,green
-8,-11,green
-5,-4,Red
-5,3,Red
-2,-7,Red
-1,6,green
-1,-7,green
-2,6,Red
1,-4,Red
1,3,Red
-5,-5,green
-5,-3,green
-7,16,blue
0,8,green
9,-9,blue
-5,-14,blue
-7,-15,green
-1,11,green
9,8,blue
1,-13,green
5,-8,blue
-6,8,blue
3,-9,blue
-3,-11,green
-7,17,green
-5,6,blue
-11,9,blue
1,15,green
-5,-13,green
3,17,green
0,-10,blue
7,8,blue
-7,-11,blue
3,-17,blue
7,-7,blue
4,-17,green
1,10,blue
-6,-17,blue
-4,-15,blue
-4,8,green
4,10,green
2,-10,blue
1,-11,blue
-4,-13,green
-3,-12,green
2,-15,green
-5,-7,blue
-6,-11,blue
-6,10,blue
3,9,blue
-1,10,green
3,-15,green
2,-11,blue
1,-12,blue
-10,-6,blue
1,-10,blue
-5,-12,blue
-8,-17,green
1,16,green
-5,11,blue
-7,-17,blue
-7,-10,blue
-6,-9,blue
-2,18,blue
-10,5,blue
-13,7,blue
5,7,blue
-5,16,green
2,8,blue
-11,5,blue
5,-5,blue
-4,9,blue
6,-7,blue
1,12,green
1,8,blue
-4,-14,blue
-9,4,blue
1,-7,blue
5,4,blue
0,-14,blue
-4,12,green
-6,-10,blue
-7,14,green
-5,13,blue
-5,12,green
2,14,green
1,-14,blue
-4,13,blue
3,-10,blue
6,5,blue
-7,15,blue
2,-8,green
4,16,green
2,-9,blue
2,-17,blue
-13,-8,blue
-5,-17,green
-10,8,blue
-6,7,green
-6,14,green
-4,-9,green
7,-6,blue
-8,10,green
-13,-9,blue
1,-17,green
6,6,blue
4,9,blue
-5,14,green
-10,-10,blue
-6,-14,green
3,-11,blue
-6,9,blue
1,-16,green
-6,-7,blue
-5,-15,green
4,-9,green
4,-16,green
-10,9,blue
-6,-15,green
-5,-10,blue
-6,-18,green
2,10,blue
-8,15,green
6,8,blue
-2,-19,blue
-6,-13,blue
-2,-20,blue
-6,13,green
-7,-9,blue
-4,14,blue
-2,-21,blue
-7,10,blue
-5,-11,blue
3,14,green
-13,8,blue
-10,-7,blue
0,9,blue
1,-9,blue
0,14,blue
0,12,green
0,-13,green
7,6,blue
6,9,blue
-8,-10,blue
0,13,blue
-6,-8,green
-5,15,green
-5,8,blue
-8,9,blue
2,9,blue
-10,-9,blue
1,11,blue
1,14,green
3,15,blue
2,13,green
-4,-10,blue
-11,6,blue
-10,6,blue
-11,8,blue
-9,7,blue
3,-18,green
2,-13,blue
1,9,blue
-9,-8,blue
-6,17,green
-3,10,green
1,-15,green
3,-16,blue
2,16,blue
2,-7,blue
2,17,green
-1,-11,green
3,10,blue
-7,9,blue
-7,8,blue
4,15,green
-6,16,blue
-5,-16,green
4,8,green
-9,-5,blue
-11,-9,blue
-8,-16,green
-8,-9,green
-11,-6,blue
2,12,blue
2,-14,green
-7,-16,blue
0,-9,green
3,16,blue
6,-6,blue
7,-10,blue
7,-9,blue
-8,8,green
-8,16,green
-7,-18,green
0,-15,blue
2,6,blue
2,7,green
6,-10,blue
6,-9,blue
9,-8,blue
9,7,blue
